Autor ohne Grad,Autor mit Grad,Titel,Untertitel,Zeitschrift,Zeitschriftkürzel,Volume,Issue,Datum,Seitennummer,PDF vom Artikel (Druckversion) (Link),PDF vom Artikel (Digitalversion) (Link),DOI vom Artikel,Bildschirmansicht vom Artikel (Link),Abstract von der Gesamtausgabe (Bildschirmansicht) (Link),PDF_Gesamtausgabe_Link_Druck,Abstract vom Artikel,Rubrik,Gesamtausgabe (Bildschirmansicht) (Link),Land
Blerina Metanj,,Management Plan for a successful qualitative Census implementation,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/49-56.pdf,,,,,,,,,Österreich
"Mohammed Duliem Al Qahtany, Hamad Al Jaafari",,The Effectiveness of Improving Non-Oil Saudi Export Through Ma’aden Aluminum Company,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/57-67.pdf,,,,,,,,,Österreich
Sami Ahmeti,,The effects of active labor market policies in Kosovo on employment growth,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/68-78.pdf,,,,,,,,,Österreich
Kristaq Gjyli,,Monetary policies and banking development in Albania during 2020 and onwards,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/79-88.pdf,,,,,,,,,Österreich
Ledia Thomo,,Exploring the impact of VAT reduction for good and services consumption expenditures,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/89-101.pdf,,,,,,,,,Österreich
"Shukrije Baruti, Marigona Mulaku, Miranda Baruti Sylejmani",,"The Relationship between Speech and Language in Children's Performance in Writing, Reading and Mathematical Arithmetic",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/102-107.pdf,,,,,,,,,Österreich
"Alban Nako, Geri Pilaca",,Reforming United Nations: The scandal of Oil-for-Food corruption,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/108-119.pdf,,,,,,,,,Österreich
Anisa Angjeli,,Macroeconomic elements on the developments of the Albanian economy during 2020 and onwards,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/120-130.pdf,,,,,,,,,Österreich
Brikena Kullolli,,How do violent video games affect the behavior of children and young adolescent in Albania?,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/131-134.pdf,,,,,,,,,Österreich
Fatmir Gashi,,The impact of financial inclusion on economic growth in Kosovo,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/135-143.pdf,,,,,,,,,Österreich
Fjorda Shqarri,,Comparative analysis of conditions for granting and losing Albanian citizenship,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/144-149.pdf,,,,,,,,,Österreich
Roland Subashi,,Concealment of Beneficiary Owner and Financial Institutions,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/150-161.pdf,,,,,,,,,Österreich
Lealba Pelinku,,Public Procurement in Albania in 14 years,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/162-173.pdf,,,,,,,,,Österreich
Ahmet Aliu,,Inheritance invoking bases,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/174-181.pdf,,,,,,,,,Österreich
Gazmir Gjoni,,"Anatomy of the vegetative organs of the species Salvia officinalis L in the population of Dibra, Albania",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/182-187.pdf,,,,,,,,,Österreich
Holta Seferi,,Limitation of criminal prosecution and execution of sentence,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/188-201.pdf,,,,,,,,,Österreich
Fabian Topollari,,Preferential vote in the Constitution and Unconstitutionality of its application by the Electoral Code in Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/202-217.pdf,,,,,,,,,Österreich
Arben Hysi,,"The “Functional Zone” model in local government reform in Albania, how the criteria were implemented",Case study Gjirokaster Region,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/218-227.pdf,,,,,,,,,Österreich
Mirgeta Kapa,,Social and cultural norms that support violence,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/228-231.pdf,,,,,,,,,Österreich
Silvana Lule,,Criminal Income and Judicial Confiscation in Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/232-240.pdf,,,,,,,,,Österreich
Blerina Fusha,,"Italian integration process, a difficult challenge for Italy",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/241-249.pdf,,,,,,,,,Österreich
"Juliana Hasekiu, Mirela Shella",,The development of primary education in the city of Elbasan from 1920 to 1924,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/250-256.pdf,,,,,,,,,Österreich
Shaip Gashi,,Entrepreneurship and firm growth in transition - The Case of Kosovo,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/257-266.pdf,,,,,,,,,Österreich
Nertila Zani,,Obtaining the argumentative text in advertising discourse,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/05/267-275.pdf,,,,,,,,,Österreich
Selvie Gjoçaj,,Sexual harassment in the workplace,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/06/276-283.pdf,,,,,,,,,Österreich
Alban Brati,,Economic developments in Kosovo,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/06/284-289.pdf,,,,,,,,,Österreich
"Erlis Hereni, Aldo Shkëmbi",,Supremacy of the European Union law over national law of the member states,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/06/290-296.pdf,,,,,,,,,Österreich
"Lena Hoffman, Endri Papajorgji, ,",,About the Journal,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/1-7.pdf,,,,,,,,,Österreich
"Lumnije Thaçi, Arbnora Gërxhaliu",,Impact of Public Debt on the Economy in the Republic of Kosovo - Empirical Evidence,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/8-25.pdf,,,,,,,,,Österreich
Ardit Boka,,Real Exchange Rate and Foreign Trade Relationship: The Case of Hungary,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/26-31.pdf,,,,,,,,,Österreich
Adriatik Avdylaj,,Development of Administrative Capacity and Regional Policy EU funds for touristic sector in post crisis,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/32-38.pdf,,,,,,,,,Österreich
"Henris Balliu, Ejona Bardhi",,Examining corporate social responsibility of multinational corporations: The validity of international guidelines,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/39-44.pdf,,,,,,,,,Österreich
Burim Dërmaku,,The Impact of Leadership Styles on Motivating Corporate Employees in Kosovo,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/45-52.pdf,,,,,,,,,Österreich
Elektra Papakosta,,The sanitation of autochthonous grapevine cultivars (Kallmet and Vlosh) from viral infections using in vitro techniques,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/53-57.pdf,,,,,,,,,Österreich
Armend Podvorica,,The right to Defense Counsel and its implementation according to the Criminal Procedure Code of Kosovo,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/58-64.pdf,,,,,,,,,Österreich
Enkeleida Lleshi,,Vertical jump to female & male volleyball players in Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/65-70.pdf,,,,,,,,,Österreich
Mentor Ejup Bislimi,,Grounds for setting aside award under Kosovo Arbitration Law in comparative perspective,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/71-82.pdf,,,,,,,,,Österreich
"Ervis Moçka, Brikena Sulejmani, Florid Dumi",,"Municipal performance, territorial reform and development during the gaps in Albanian businesses - An overview of ADP principles and financial management",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/83-92.pdf,,,,,,,,,Österreich
Blerina Jashari,,Blake and the diversity of influences over his poetry,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/93-100-2.pdf,,,,,,,,,Österreich
Irena Alimerko,,Psychosocial Factor in the Education of the Individual,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/101-106.pdf,,,,,,,,,Österreich
Esmeralda Subashi,,An introduction to Hamlet’s problem,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/107-113.pdf,,,,,,,,,Österreich
Mentor Ejup Bislimi,,Meaning and legal effect of Remission under Kosovo Arbitration Law in comparative perspective,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/114-123.pdf,,,,,,,,,Österreich
Kastriote Vlahna,,Servitudes and types of property (real) servitudes by legislation in Kosovo,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/124-134.pdf,,,,,,,,,Österreich
"Aferdita Maho, Besnik Maho",,Achievements and challenges about re-evaluation process of judges and prosecutors in the Republic of Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/135-151.pdf,,,,,,,,,Österreich
Saimir Sallaku,,Incentive Issues Underlying the Budget Process in Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/152-156.pdf,,,,,,,,,Österreich
Muharrem Bunjaku,,Basic concepts of quality and standards,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/157-163.pdf,,,,,,,,,Österreich
"Sali Krasniqi, Fatmire Shala Dreshaj, Kushtrim Dreshaj",,Travel agencies - Touristic activities,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 3 - November 2020,,,,https://iipccl.org/wp-content/uploads/2020/11/164-170.pdf,,,,,,,,,Österreich
"Lena Hoffman, Endri Papajorgji, ,",,About the Journal,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 2 - July 2020,,,,https://iipccl.org/wp-content/uploads/2020/07/1-7-1.pdf,,,,,,,,,Österreich
Volker Doberanzke,,The Importance of corporate culture in transformative programs,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 2 - July 2020,,,,https://iipccl.org/wp-content/uploads/2020/07/8-17.pdf,,,,,,,,,Österreich
Zyhra Gripshi,,Social factors that lead women and men to suicide,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 2 - July 2020,,,,https://iipccl.org/wp-content/uploads/2020/07/18-22.pdf,,,,,,,,,Österreich
Amanda Gjyli (Vrioni),,Execution of final court decisions as part of a fair trial,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 2 - July 2020,,,,https://iipccl.org/wp-content/uploads/2020/07/23-30.pdf,,,,,,,,,Österreich
Jahja Lataj,,"Direct marketing, presence on social networks of hotel enterprises in Kosovo",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 2 - July 2020,,,,https://iipccl.org/wp-content/uploads/2020/07/31-35.pdf,,,,,,,,,Österreich
Leudita Ademi,,BREXIT: Contemplating the European Union integration in terms of democracy after the first withdrawal from the Union,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 2 - July 2020,,,,https://iipccl.org/wp-content/uploads/2020/07/36-43.pdf,,,,,,,,,Österreich
Nehat Idrizi,,Enforcement of court decisions which are the exclusive competence of the courts in the Republic of Kosovo,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 2 - July 2020,,,,https://iipccl.org/wp-content/uploads/2020/07/44-51.pdf,,,,,,,,,Österreich
Enkelejda Mecka,,Paternal responsibility in the Albanian judicial practice,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 2 - July 2020,,,,https://iipccl.org/wp-content/uploads/2020/07/52-60.pdf,,,,,,,,,Österreich
Gloria Çarkaxhiu,,Amendments in criminal legislation - Cause of the global pandemic,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 2 - July 2020,,,,https://iipccl.org/wp-content/uploads/2020/07/61-70.pdf,,,,,,,,,Österreich
Silvana Dervishi,,What is lost and gained in translation,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 2 - July 2020,,,,https://iipccl.org/wp-content/uploads/2020/07/71-75.pdf,,,,,,,,,Österreich
Teuta Beka,,Contractual freedom in contract law,(With special emphasis on the construction contract),"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 2 - July 2020,,,,https://iipccl.org/wp-content/uploads/2020/07/76-84.pdf,,,,,,,,,Österreich
Driola Susuri,,Fighting corruption by justice authorities in Prizren,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 2 - July 2020,,,,https://iipccl.org/wp-content/uploads/2020/07/85-95.pdf,,,,,,,,,Österreich
"Bashkim Arifi, Burim Haliti",,Goods evaluation in contest of the customs revenues,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 6 No. 2 - July 2020,,,,https://iipccl.org/wp-content/uploads/2020/07/96-102.pdf,,,,,,,,,Österreich
