Titel,Zeitschrift,Zeitschriftkürzel,Land
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"The instrument for Pre-accession assistance (IPA), Albanian case through the enlargement process","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
General observation on the origin of the right of property and its philosophical aspects,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The mediating role of entrepreneurial orientation on the relationship between organization capacity and performance of manufacturing small and medium enterprises,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
European Union’s competence in adopting legal acts on copyright protection,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Globalization and Albanian Civil Society during the Democratization Process,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Wage and Sales Correlation in Hotels,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
An overview for regression tree,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Operating budgets and the touristic traffic patterns and their importance Theoretical analysis in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The marriage contract as a judicial economy in the division of the property between ex-spouses,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The principle of independence in Administrative Justice Overview on Administrative Courts of European Union’s countries,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The Chestnut Market and Consumption in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Financial crisis in Albania under financial investor behavior perspective,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Legal Aspects of Copyright in Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The psycholinguistic development of children aged 3-6,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Administrative capacity as the main factor of the ""Acquis Communautaire""","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Is technological Approach to Municipal Bodies a Convenience or a Barrier for Citizens?,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The effect of foreign investment on the economic growth with a special focus on Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"The EU's common digital market, an open door to the Fourth Industrial Revolution","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The development of tourism enterprises in the municipality of Peja,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Implementation of Competition in the EU based on ECJ Decision No. 161 of 28.1.1986, Pronuptia de Paris vs. Schillgalis","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Some aspects of phonological disorders of children with mental retardation in classes I-IV,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Audio-Visual Aids in Teaching,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Surrealistic metaphysics, lyric abstraction and artistic identity of Gjelosh Gjokaj as a universal fi gurative value","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Alternative sanctions of imprisonment sentences and their contemporary tendencies,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
English course in two vocational upper-secondary schools in Kosovo and Macedonia – A critical approach,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The changes in international security environment,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Some observations on the implementation of progressive and flat taxes in the Albanian tax system,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Use of Distribution Algorithms, for the Construction of a Classification and Regression Tree","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The Application of Technology and Strategy in the Business Management of SMEs,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Euro and European Monetary Union between Ideal and Crises,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The beginning of the international process for defining Kosovo’s final status,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Some basic features of major penalties under the criminal code of the Republic of Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Deviation from purchasing power parity in Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Some measures for the advancement of the punitive policy against criminality,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Crimes against humanity seen under the view of the Rome Statute,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Constitutional Principles in the Functioning of the Parliament in the Republic of Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Generalised meaning of pronouns,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The multiform eternal enemy of democracy: despotism,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Fair trial based on penal legislation of Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Illegal logging and its effects on law on forestry,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Analytical Role of Corporate Strategy in Growth and Expansion of Unilever Pakistan,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
